Tree,Order,Start X,Start Y,Start Z,End X,End Y,End Z,Point Type,Length(µm),Length To Beginning (µm),Start Diameter(µm),End Diameter(µm),Avg Diameter(µm),Surface Area(µm²),Volume(µm³),Spines,none Spine,thin Spine,stubby Spine,mushroom Spine,filopodia Spine,branched Spine,detached Spine,other Spine
1,7,373.41,-241.37,0,372.06,-239.75,0,CP,2.1,324,1.9,1.9,1.9,12.444,5.85929,0,0,0,0,0,0,0,0,0
1,7,372.06,-239.75,0,371.52,-238.14,0,CP,1.7,325.7,1.9,1.9,1.9,10.0767,4.74465,0,0,0,0,0,0,0,0,0
1,7,371.52,-238.14,0,371.25,-235.44,0,CP,2.7,328.4,1.9,1.9,1.9,16.0124,7.53945,0,0,0,0,0,0,0,0,0
1,7,371.25,-235.44,0,370.45,-233.56,0,CP,2.1,330.4,1.9,1.9,1.9,12.1342,5.71341,0,0,0,0,0,0,0,0,0
1,7,370.45,-233.56,0,369.91,-231.67,0,CP,2,332.4,1.9,1.9,1.9,11.5993,5.46156,0,0,0,0,0,0,0,0,0
1,7,369.91,-231.67,0,369.91,-230.86,0,CP,0.8,333.2,1.9,1.9,1.9,4.77985,2.2506,0,0,0,0,0,0,0,0,0
1,7,369.91,-230.86,0,370.18,-229.52,0,CP,1.4,334.6,1.9,1.9,1.9,8.12422,3.8253,0,0,0,0,0,0,0,0,0
1,7,370.18,-229.52,0,370.45,-228.17,0,CP,1.4,336,1.9,1.9,1.9,8.12419,3.82529,0,0,0,0,0,0,0,0,0
1,7,370.45,-228.17,0,370.45,-227.1,0,CP,1.1,337,1.9,1.9,1.9,6.37319,3.00083,0,0,0,0,0,0,0,0,0
1,7,370.45,-227.1,0,370.98,-226.02,0,CP,1.2,338.2,1.9,1.9,1.9,7.12541,3.35501,0,0,0,0,0,0,0,0,0
1,7,370.98,-226.02,0,370.45,-223.59,0,CP,2.5,340.7,1.9,1.9,1.9,14.6895,6.91656,0,0,0,0,0,0,0,0,0
1,7,370.45,-223.59,0,370.45,-221.98,0,CP,1.6,342.3,1.9,1.9,1.9,9.5597,4.5012,0,0,0,0,0,0,0,0,0
1,7,370.45,-221.98,0,369.37,-220.36,0,BP,1.9,344.3,1.9,1.9,1.9,11.4893,5.40977,0,0,0,0,0,0,0,0,0
1,8,369.37,-220.36,0,367.21,-220.36,0,CP,2.2,346.4,1.9,1.3,1.6,11.009,4.44907,0,0,0,0,0,0,0,0,0
1,8,367.21,-220.36,0,363.44,-219.56,0,CP,3.9,350.3,1.3,1.3,1.3,16.2893,5.47667,0,0,0,0,0,0,0,0,0
1,8,363.44,-219.56,0,360.75,-217.67,0,CP,3.3,353.6,1.3,1.3,1.3,13.8872,4.66905,0,0,0,0,0,0,0,0,0
1,8,360.75,-217.67,0,359.14,-217.13,0,CP,1.7,355.3,1.3,1.3,1.3,7.19548,2.41921,0,0,0,0,0,0,0,0,0
1,8,359.14,-217.13,0,357.25,-216.59,0,CP,2,357.2,1.3,1.3,1.3,8.28241,2.78465,0,0,0,0,0,0,0,0,0
1,8,357.25,-216.59,0,356.17,-215.79,0,CP,1.3,358.6,1.3,1.3,1.3,5.68858,1.91257,0,0,0,0,0,0,0,0,0
1,8,356.17,-215.79,0,354.83,-214.71,0,CP,1.7,360.3,1.3,1.3,1.3,7.28475,2.44922,0,0,0,0,0,0,0,0,0
1,8,354.83,-214.71,0,353.75,-213.63,0,CP,1.5,361.8,1.3,1.3,1.3,6.43575,2.16378,0,0,0,0,0,0,0,0,0
1,8,353.75,-213.63,0,352.13,-212.82,0,CP,1.8,363.6,1.3,1.3,1.3,7.63187,2.56593,0,0,0,0,0,0,0,0,0
1,8,352.13,-212.82,0,351.33,-211.75,0,CP,1.3,365,1.3,1.3,1.3,5.68842,1.91252,0,0,0,0,0,0,0,0,0
1,8,351.33,-211.75,0,350.52,-211.48,0,EP,0.9,365.8,1.3,1.3,1.3,3.5977,1.20959,0,0,0,0,0,0,0,0,0
1,8,369.37,-220.36,0,370.18,-219.82,0,CP,1,345.2,1.9,1.6,1.7,5.38501,2.33657,0,0,0,0,0,0,0,0,0
1,8,370.18,-219.82,0,370.45,-218.75,0,CP,1.1,346.4,1.6,1.6,1.6,5.63007,2.27191,0,0,0,0,0,0,0,0,0
1,8,370.45,-218.75,0,370.72,-217.4,0,CP,1.4,347.7,1.6,1.6,1.6,6.96267,2.80966,0,0,0,0,0,0,0,0,0
1,8,370.72,-217.4,0,371.25,-216.05,0,CP,1.5,349.2,1.6,1.6,1.6,7.35343,2.96734,0,0,0,0,0,0,0,0,0
1,8,371.25,-216.05,0,371.79,-214.98,0,CP,1.2,350.4,1.6,1.6,1.6,6.10659,2.46421,0,0,0,0,0,0,0,0,0
1,8,371.79,-214.98,0,372.33,-214.44,0,CP,0.8,351.1,1.6,1.6,1.6,3.86216,1.5585,0,0,0,0,0,0,0,0,0
1,8,372.33,-214.44,0,372.87,-213.09,0,CP,1.5,352.6,1.6,1.6,1.6,7.35343,2.96734,0,0,0,0,0,0,0,0,0
1,8,372.87,-213.09,0,373.68,-211.48,0,CP,1.8,354.4,1.6,1.6,1.6,9.16002,3.69636,0,0,0,0,0,0,0,0,0
1,8,373.68,-211.48,0,373.95,-210.4,0,CP,1.1,355.5,1.6,1.6,1.6,5.62999,2.27188,0,0,0,0,0,0,0,0,0
1,8,373.95,-210.4,0,374.75,-208.78,0,CP,1.8,357.3,1.6,1.6,1.6,9.16009,3.69639,0,0,0,0,0,0,0,0,0
1,8,374.75,-208.78,0,375.29,-206.63,0,CP,2.2,359.5,1.6,1.6,1.6,11.2601,4.54381,0,0,0,0,0,0,0,0,0
1,8,375.29,-206.63,0,375.56,-204.75,0,CP,1.9,361.4,1.6,1.6,1.6,9.6555,3.8963,0,0,0,0,0,0,0,0,0
1,8,375.56,-204.75,0,375.83,-203.13,0,CP,1.6,363.1,1.6,1.6,1.6,8.30591,3.3517,0,0,0,0,0,0,0,0,0
1,8,375.83,-203.13,0,375.83,-201.51,0,CP,1.6,364.7,1.6,1.6,1.6,8.19291,3.3061,0,0,0,0,0,0,0,0,0
1,8,375.83,-201.51,0,375.56,-199.36,0,CP,2.2,366.9,1.6,1.6,1.6,11.0089,4.44245,0,0,0,0,0,0,0,0,0
1,8,375.56,-199.36,0,374.22,-196.94,0,CP,2.8,369.6,1.6,1.9,1.7,15.2493,6.67217,0,0,0,0,0,0,0,0,0
1,8,374.22,-196.94,0,372.6,-194.51,0,CP,2.9,372.6,1.9,1.9,1.9,17.2341,8.11469,0,0,0,0,0,0,0,0,0
1,8,372.6,-194.51,0,372.06,-193.7,0,CP,1,373.5,1.9,1.9,1.9,5.74473,2.70492,0,0,0,0,0,0,0,0,0
1,8,372.06,-193.7,0,370.98,-190.74,0,BP,3.2,376.7,1.9,1.9,1.9,18.6489,8.78086,0,0,0,0,0,0,0,0,0
1,9,370.98,-190.74,0,368.56,-188.86,0,CP,3.1,379.7,1.9,1.3,1.6,15.6288,6.34091,0,0,0,0,0,0,0,0,0
1,9,368.56,-188.86,0,365.06,-186.43,0,CP,4.3,384,1.3,1.3,1.3,17.9885,6.04796,0,0,0,0,0,0,0,0,0
1,9,365.06,-186.43,0,364.25,-185.63,0,CP,1.1,385.1,1.3,1.3,1.3,4.82671,1.6228,0,0,0,0,0,0,0,0,0
1,9,364.25,-185.63,0,362.37,-184.01,0,CP,2.5,387.6,1.3,1.3,1.3,10.489,3.52653,0,0,0,0,0,0,0,0,0
1,9,362.37,-184.01,0,361.56,-182.66,0,CP,1.6,389.2,1.3,1.3,1.3,6.63389,2.2304,0,0,0,0,0,0,0,0,0
1,9,361.56,-182.66,0,358.87,-179.97,0,CP,3.8,393,1.3,1.3,1.3,16.0893,5.40943,0,0,0,0,0,0,0,0,0
1,9,358.87,-179.97,0,358.06,-179.16,0,CP,1.1,394.1,1.3,1.3,1.3,4.82689,1.62286,0,0,0,0,0,0,0,0,0
1,9,358.06,-179.16,0,354.83,-176.74,0,CP,4,398.2,1.3,1.3,1.3,17.0654,5.73759,0,0,0,0,0,0,0,0,0
1,9,354.83,-176.74,0,353.48,-175.12,0,CP,2.1,400.3,1.3,1.3,1.3,8.8856,2.98745,0,0,0,0,0,0,0,0,0
1,9,353.48,-175.12,0,351.87,-173.24,0,CP,2.5,402.8,1.3,1.3,1.3,10.489,3.52653,0,0,0,0,0,0,0,0,0
1,9,351.87,-173.24,0,349.71,-172.43,0,CP,2.3,405.1,1.3,1.3,1.3,9.72049,3.26815,0,0,0,0,0,0,0,0,0
1,9,349.71,-172.43,0,348.36,-171.89,0,CP,1.5,406.5,1.3,1.3,1.3,6.12672,2.05988,0,0,0,0,0,0,0,0,0
1,9,348.36,-171.89,0,348.1,-170.82,0,CP,1.1,407.6,1.3,1.3,1.3,4.69076,1.57709,0,0,0,0,0,0,0,0,0
1,9,348.1,-170.82,0,347.56,-168.66,0,CP,2.2,409.9,1.3,1.3,1.3,9.38172,3.15425,0,0,0,0,0,0,0,0,0
1,9,347.56,-168.66,0,347.02,-166.51,0,CP,2.2,412.1,1.3,1.3,1.3,9.38165,3.15423,0,0,0,0,0,0,0,0,0
1,9,347.02,-166.51,0,346.75,-164.62,0,CP,1.9,414,1.3,1.3,1.3,8.04463,2.70471,0,0,0,0,0,0,0,0,0
1,9,346.75,-164.62,0,346.75,-162.47,0,CP,2.2,416.1,1.3,1.3,1.3,9.10159,3.06007,0,0,0,0,0,0,0,0,0
